bdu_id,name,description,severity,cve_ids_raw,cvss_score_raw,published_at_raw
BDU:2023-08834,УЯЗВИМОСТЬ ВЕБ-СЕРВЕРА APACHE HTTP SERVER,,Критический,CVE-2023-8834,9.8,20.09.2023
BDU:2024-03788,уязвимость pip подмена пакетов supply chain,уязвимость pip атака через подмену пакетов репозиторий,Средний,CVE-2024-3788,5.9,2024-04-12
BDU:2023-01210,уязвимость функции get_user_pages_fast ядра linux,Уязвимость позволяет нарушителю повысить привилегии и выполнить произвольный код в ядре Linux,Высокий,CVE-2023-1210,7.8,2023-03-15
BDU:2023-11567,Уязвимость BIND named DNS сервер рекурсия,уязвимость bind dns сервер отказ в обслуживании специально сформированный запрос,Высокий,CVE-2023-11567,7.5,14.11.2023
BDU:2024-02341,Уязвимость браузера Google Chrome связанная с использованием памяти после освобождения,Уязвимость компонента WebRTC браузера Google Chrome позволяет нарушителю выполнить произвольный код,Критический,CVE-2024-2341,8.8,2024-03-05
BDU:2023-08834,уязвимость apache http server переполнение буфера mod_proxy,уязвимость mod_proxy apache позволяет выполнить произвольный код на сервере,Критический,CVE-2023-8834,9.8,2023-09-20
BDU:2024-05512,УЯЗВИМОСТЬ КОМПОНЕНТА SUDO LINUX/UNIX,,Критический,CVE-2024-5512,8.8,22.05.2024
BDU:2024-07123,Уязвимость Windows SMB RCE без аутентификации,уязвимость smb windows rce удалённое выполнение произвольного кода,Критический,CVE-2024-7123,9.8,09.07.2024
BDU:2023-01210,Уязвимость функции __get_user_pages_fast() ядра операционной системы Linux,Уязвимость функции __get_user_pages_fast() ядра операционной системы Linux позволяет нарушителю повысить привилегии и выполнить произвольный код,Высокий,CVE-2023-1210,7.8,2023-03-15
BDU:2024-02341,Уязвимость компонента WebRTC Google Chrome использование памяти после освобождения,уязвимость chrome webrtc выполнение произвольного кода нарушителем,Критический,CVE-2024-2341,8.8,05.03.2024
BDU:2023-05421,уязвимость openssl некорректная обработка данных,уязвимость openssl позволяет вызвать отказ в обслуживании,Средний,CVE-2023-5421,5.3,2023-06-01
BDU:2023-11567,Уязвимость компонента BIND DNS-сервера связанная с бесконечной рекурсией,Уязвимость компонента named DNS-сервера BIND позволяет нарушителю вызвать отказ в обслуживании путём отправки специально сформированного DNS-запроса,Высокий,CVE-2023-11567,7.5,2023-11-14
BDU:2024-07123,Уязвимость службы SMB операционной системы Windows связанная с удалённым выполнением кода,Уязвимость службы SMB операционной системы Windows позволяет нарушителю выполнить произвольный код без аутентификации,Критический,CVE-2024-7123,9.8,2024-07-09
BDU:2024-00892,уязвимость ssh cisco ios человек посередине,уязвимость протокола ssh cisco ios xe позволяет атаку mitm,Высокий,CVE-2024-892,7.4,2024-01-30
BDU:2023-05421,УЯЗВИМОСТЬ БИБЛИОТЕКИ OPENSSL,Уязвимость связана с некорректной обработкой входных данных в OpenSSL,Средний,CVE-2023-5421,5.3,01.06.2023
BDU:2024-05512,уязвимость sudo linux повышение привилегий суперпользователь,уязвимость sudo повышение привилегий до root,Критический,CVE-2024-5512,8.8,2024-05-22
BDU:2024-00892,УЯЗВИМОСТЬ ПРОТОКОЛА SSH В CISCO IOS,уязвимость ssh cisco ios атака человек посередине,Высокий,CVE-2024-892,7.4,30.01.2024
BDU:2024-05512,Уязвимость компонента sudo операционных систем Linux и Unix,Уязвимость компонента sudo позволяет нарушителю повысить привилегии до уровня суперпользователя,Критический,CVE-2024-5512,8.8,2024-05-22
BDU:2023-05421,Уязвимость библиотеки OpenSSL связанная с некорректной обработкой входных данных,Уязвимость компонента ssl/statem/statem_clnt.c библиотеки OpenSSL позволяет нарушителю вызвать отказ в обслуживании,Средний,CVE-2023-5421,5.3,2023-06-01
BDU:2024-00892,Уязвимость реализации протокола SSH в продуктах Cisco IOS,Уязвимость реализации протокола SSH в продуктах Cisco IOS и IOS XE позволяет нарушителю провести атаку типа человек посередине,Высокий,CVE-2024-892,7.4,2024-01-30
BDU:2023-01210,Уязвимость __get_user_pages_fast() ОС Linux,уязвимость ядра linux позволяет повысить привилегии,Высокий,CVE-2023-1210,7.8,15.03.2023
BDU:2023-08834,Уязвимость веб-сервера Apache HTTP Server связанная с переполнением буфера,Уязвимость модуля mod_proxy веб-сервера Apache HTTP Server позволяет нарушителю выполнить произвольный код,Критический,CVE-2023-8834,9.8,2023-09-20
BDU:2024-07123,уязвимость smb windows удалённое выполнение кода,уязвимость windows smb позволяет выполнить код без аутентификации,Критический,CVE-2024-7123,9.8,2024-07-09
BDU:2023-11567,уязвимость dns-сервера bind бесконечная рекурсия,уязвимость named в bind позволяет вызвать отказ в обслуживании,Высокий,CVE-2023-11567,7.5,2023-11-14
BDU:2024-02341,уязвимость google chrome use-after-free webrtc,уязвимость webrtc в chrome позволяет выполнить произвольный код,Критический,CVE-2024-2341,8.8,2024-03-05
BDU:2024-03788,Уязвимость менеджера пакетов pip связанная с подменой пакетов,Уязвимость менеджера пакетов pip позволяет нарушителю провести атаку через подмену пакетов в репозитории,Средний,CVE-2024-3788,5.9,2024-04-12
